iceberg_id,latitude,longitude,area_km2,confidence,timestamp,pixel_count,id,size_major_km,size_minor_km
IB_031,-65.948836,136.190137,0.9216,0.9582,2021-03-10 10:48:42,576,IB_031,1.083244000411692,1.083244000411692
IB_032,-65.974116,136.066392,0.9056,0.9659,2021-03-10 10:48:42,566,IB_032,1.0737996701955925,1.0737996701955925
IB_033,-66.024662,136.212484,0.8384,0.9245,2021-03-10 10:48:42,524,IB_033,1.033191189618824,1.033191189618824
IB_034,-65.842139,135.461558,0.8272,0.9693,2021-03-10 10:48:42,517,IB_034,1.0262669006671348,1.0262669006671348
IB_035,-66.084824,136.100512,0.8128,0.9074,2021-03-10 10:48:42,508,IB_035,1.0172949925959236,1.0172949925959236
IB_036,-65.805303,136.541478,0.7744,0.929,2021-03-10 10:48:42,484,IB_036,0.9929736670440511,0.9929736670440511
IB_037,-65.839047,135.988522,0.7424,0.742,2021-03-10 10:48:42,464,IB_037,0.9722412447594397,0.9722412447594397
IB_038,-65.851453,135.908395,0.7312,0.7323,2021-03-10 10:48:42,457,IB_038,0.9648796583566009,0.9648796583566009
IB_039,-65.801268,136.183253,0.72,0.9613,2021-03-10 10:48:42,450,IB_039,0.9574614729634384,0.9574614729634384
IB_040,-65.840305,135.898125,0.7104,0.6576,2021-03-10 10:48:42,444,IB_040,0.9510569765160548,0.9510569765160548
IB_041,-65.829445,136.059002,0.7072,0.6279,2021-03-10 10:48:42,442,IB_041,0.9489125386655544,0.9489125386655544
IB_042,-66.077819,136.191327,0.6848,0.9293,2021-03-10 10:48:42,428,IB_042,0.9337635890495192,0.9337635890495192
IB_043,-65.990224,136.14777,0.6816,0.6895,2021-03-10 10:48:42,426,IB_043,0.9315793437445288,0.9315793437445288
IB_044,-66.056579,136.168587,0.6512,0.8915,2021-03-10 10:48:42,407,IB_044,0.9105677303372539,0.9105677303372539
IB_045,-66.085565,136.164588,0.6416,0.934,2021-03-10 10:48:42,401,IB_045,0.9038310084866973,0.9038310084866973
IB_046,-65.800003,135.560179,0.6096,0.9504,2021-03-10 10:48:42,381,IB_046,0.8810033067307723,0.8810033067307723
IB_047,-66.02332,136.188405,0.512,0.923,2021-03-10 10:48:42,320,IB_047,0.8074024070464513,0.8074024070464513
IB_048,-65.887552,136.366741,0.4912,0.9511,2021-03-10 10:48:42,307,IB_048,0.7908320076817276,0.7908320076817276
IB_049,-66.024063,136.235802,0.4784,0.8998,2021-03-10 10:48:42,299,IB_049,0.7804599914161532,0.7804599914161532
IB_050,-65.826388,135.758118,0.4704,0.7477,2021-03-10 10:48:42,294,IB_050,0.7739068948157914,0.7739068948157914
IB_051,-65.827487,135.818739,0.464,0.8906,2021-03-10 10:48:42,290,IB_051,0.7686241921492685,0.7686241921492685
IB_052,-65.764501,136.203959,0.4592,0.9523,2021-03-10 10:48:42,287,IB_052,0.7646382144141023,0.7646382144141023
IB_053,-65.75042,135.829049,0.432,0.9477,2021-03-10 10:48:42,270,IB_053,0.741646467884524,0.741646467884524
IB_054,-65.723648,136.289294,0.432,0.9603,2021-03-10 10:48:42,270,IB_054,0.741646467884524,0.741646467884524
IB_055,-65.925633,136.425375,0.416,0.9486,2021-03-10 10:48:42,260,IB_055,0.7277826946347568,0.7277826946347568
IB_056,-66.003383,136.227604,0.3936,0.9134,2021-03-10 10:48:42,246,IB_056,0.7079174279587698,0.7079174279587698
IB_057,-65.762035,135.724813,0.3824,0.9512,2021-03-10 10:48:42,239,IB_057,0.6977727437401996,0.6977727437401996
IB_058,-66.008603,136.243371,0.3728,0.882,2021-03-10 10:48:42,233,IB_058,0.6889584183949483,0.6889584183949483
IB_059,-65.815915,135.77862,0.3696,0.9159,2021-03-10 10:48:42,231,IB_059,0.6859951426461532,0.6859951426461532
IB_060,-65.919662,136.444374,0.3664,0.9448,2021-03-10 10:48:42,229,IB_060,0.6830190108561867,0.6830190108561867
IB_061,-65.909083,136.493339,0.3632,0.9435,2021-03-10 10:48:42,227,IB_061,0.680029854232747,0.680029854232747
